sequence_id,architecture_id,metric,old,corrected,delta,unit
heldout_h01_exit_reentry,deepsort_raw,reference_unavailable_duration_s,0.0,0.0,0.0,s
heldout_h01_exit_reentry,deepsort_raw,reference_gap_duration_s,0.133013131000002,0.133013131000002,0.0,s
heldout_h01_exit_reentry,deepsort_raw,reference_gap_with_output_duration_s,0.0,0.0,0.0,s
heldout_h01_exit_reentry,deepsort_raw,iou_duration_weighted_mean,0.7470456448872598,0.8330552644656457,0.08600961957838593,fraction
heldout_h01_exit_reentry,deepsort_raw,iou_median,0.7566456691516001,0.8378815337700359,0.0812358646184358,fraction
heldout_h01_exit_reentry,deepsort_raw,centre_error_px_duration_weighted_mean,4.427756595125235,2.2746381461724927,-2.153118448952742,px
heldout_h01_exit_reentry,deepsort_raw,scored_duration_s,9.316574000000013,9.433317301,0.1167433009999872,s
heldout_h01_exit_reentry,deepsort_raw,n_samples,452,459,7,count
heldout_h02_crossing,bytetrack_raw,correct_target_output_duration_s,16.06670243,16.233310777000003,0.16660834700000393,s
heldout_h02_crossing,bytetrack_raw,wrong_person_output_duration_s,15.899951887000007,15.666769109999994,-0.23318277700001389,s
heldout_h02_crossing,bytetrack_raw,identity_unresolved_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,bytetrack_raw,lost_or_suppressed_duration_s,13.666725518999993,13.733299949000001,0.06657443000000818,s
heldout_h02_crossing,bytetrack_raw,target_absent_duration_s,5.733018364999999,5.733018364999999,0.0,s
heldout_h02_crossing,bytetrack_raw,target_absent_with_output_duration_s,0.23335365900000005,0.29997646099999997,0.06662280199999993,s
heldout_h02_crossing,bytetrack_raw,reference_unavailable_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,bytetrack_raw,reference_gap_duration_s,0.033327126000003204,0.033327126000003204,0.0,s
heldout_h02_crossing,bytetrack_raw,reference_gap_with_output_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,bytetrack_raw,iou_duration_weighted_mean,0.7683640066379706,0.804583829572368,0.036219822934397405,fraction
heldout_h02_crossing,bytetrack_raw,iou_median,0.7778907903067447,0.8123041011348275,0.034413310828082855,fraction
heldout_h02_crossing,bytetrack_raw,centre_error_px_duration_weighted_mean,5.253598462156279,4.084417563225301,-1.1691808989309775,px
heldout_h02_crossing,bytetrack_raw,scored_duration_s,16.066702429999996,16.233310777000003,0.16660834700000748,s
heldout_h02_crossing,bytetrack_raw,n_samples,793,799,6,count
heldout_h02_crossing,target_reid_090,correct_target_output_duration_s,0.10003056099999696,0.10002404200000115,-6.518999995819286e-06,s
heldout_h02_crossing,target_reid_090,wrong_person_output_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,target_reid_090,identity_unresolved_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,target_reid_090,lost_or_suppressed_duration_s,45.533349275,45.533355793999995,6.518999995819286e-06,s
heldout_h02_crossing,target_reid_090,target_absent_duration_s,5.733018364999999,5.733018364999999,0.0,s
heldout_h02_crossing,target_reid_090,target_absent_with_output_duration_s,0.0665368049999997,0.06686964400000006,0.00033283900000036226,s
heldout_h02_crossing,target_reid_090,reference_unavailable_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,target_reid_090,reference_gap_duration_s,0.033327126000003204,0.033327126000003204,0.0,s
heldout_h02_crossing,target_reid_090,reference_gap_with_output_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,target_reid_090,iou_duration_weighted_mean,0.6426849581588214,0.64511002281246,0.0024250646536385645,fraction
heldout_h02_crossing,target_reid_090,iou_median,0.6377615988174574,0.6377615988174574,0.0,fraction
heldout_h02_crossing,target_reid_090,centre_error_px_duration_weighted_mean,9.389758777693853,10.346191483773408,0.9564327060795552,px
heldout_h02_crossing,target_reid_090,scored_duration_s,0.10003056099999696,0.10002404200000115,-6.518999995819286e-06,s
heldout_h02_crossing,target_reid_090,n_samples,5,5,0,count
heldout_h02_crossing,bytetrack_tim_mars,correct_target_output_duration_s,11.70005333,11.633283985999999,-0.06676934400000079,s
heldout_h02_crossing,bytetrack_tim_mars,wrong_person_output_duration_s,0.0,0.0,0.0,s
