condition	sequence	status	output_bag	report_dir	log_file
all_candidates_250ms	may_hard_reentry	0	/home/francisco/Desktop/Thesis-Code/bags/replay/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/all_candidates_250ms/may_hard_reentry	/home/francisco/Desktop/Thesis-Code/reports/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/all_candidates_250ms/may_hard_reentry	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/all_candidates_250ms/may_hard_reentry/wrapper.log
ambiguity_guarded_250ms	may_hard_reentry	0	/home/francisco/Desktop/Thesis-Code/bags/replay/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/ambiguity_guarded_250ms/may_hard_reentry	/home/francisco/Desktop/Thesis-Code/reports/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/ambiguity_guarded_250ms/may_hard_reentry	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/ambiguity_guarded_250ms/may_hard_reentry/wrapper.log
ambiguity_guarded_250ms	seq01_clean	0	/home/francisco/Desktop/Thesis-Code/bags/replay/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/ambiguity_guarded_250ms/seq01_clean	/home/francisco/Desktop/Thesis-Code/reports/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/ambiguity_guarded_250ms/seq01_clean	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/ambiguity_guarded_250ms/seq01_clean/wrapper.log
all_candidates_250ms	seq01_clean	0	/home/francisco/Desktop/Thesis-Code/bags/replay/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/all_candidates_250ms/seq01_clean	/home/francisco/Desktop/Thesis-Code/reports/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/all_candidates_250ms/seq01_clean	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/all_candidates_250ms/seq01_clean/wrapper.log
all_candidates_250ms	seq03_crossing	0	/home/francisco/Desktop/Thesis-Code/bags/replay/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/all_candidates_250ms/seq03_crossing	/home/francisco/Desktop/Thesis-Code/reports/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/all_candidates_250ms/seq03_crossing	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/all_candidates_250ms/seq03_crossing/wrapper.log
ambiguity_guarded_250ms	seq03_crossing	0	/home/francisco/Desktop/Thesis-Code/bags/replay/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/ambiguity_guarded_250ms/seq03_crossing	/home/francisco/Desktop/Thesis-Code/reports/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/ambiguity_guarded_250ms/seq03_crossing	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/ambiguity_guarded_250ms/seq03_crossing/wrapper.log
ambiguity_guarded_250ms	seq04_occlusion	0	/home/francisco/Desktop/Thesis-Code/bags/replay/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/ambiguity_guarded_250ms/seq04_occlusion	/home/francisco/Desktop/Thesis-Code/reports/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/ambiguity_guarded_250ms/seq04_occlusion	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/ambiguity_guarded_250ms/seq04_occlusion/wrapper.log
all_candidates_250ms	seq04_occlusion	0	/home/francisco/Desktop/Thesis-Code/bags/replay/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/all_candidates_250ms/seq04_occlusion	/home/francisco/Desktop/Thesis-Code/reports/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/all_candidates_250ms/seq04_occlusion	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p044_guarded_cpu_matrix_7c4bedad_2026_08_03_r1/all_candidates_250ms/seq04_occlusion/wrapper.log
