sequence,all_candidates_correct_ratio,ambiguity_guarded_correct_ratio,correct_ratio_delta,all_candidates_wrong_ratio,ambiguity_guarded_wrong_ratio,wrong_ratio_delta,all_candidates_lost_ratio,ambiguity_guarded_lost_ratio,lost_ratio_delta,all_candidates_requested_crops,ambiguity_guarded_requested_crops,requested_crops_reduction_percent,all_candidates_steady_backend_wall_ms,ambiguity_guarded_steady_backend_wall_ms,steady_backend_wall_reduction_percent,safety_pass
may_hard_reentry,0.922,0.92,-0.0020000000000000018,0.004,0.004,0.0,0.073,0.076,0.0030000000000000027,369,195,47.15447154471545,7965.832256,4291.597394,46.124933891653356,True
seq01_clean,0.868,0.868,0.0,0.0,0.0,0.0,0.132,0.132,0.0,1297,359,72.3207401696222,23597.875769,8075.42713,65.7790082079824,True
seq03_crossing,0.832,0.84,0.008000000000000007,0.002,0.002,0.0,0.166,0.158,-0.008000000000000007,698,412,40.97421203438395,13359.039617,8747.898155,34.517013155138095,True
seq04_occlusion,0.663,0.663,0.0,0.0,0.0,0.0,0.337,0.337,0.0,613,369,39.8042414355628,13438.35797,7462.976116,44.46511893297927,True
