status,source_kind,category,sequence,old_path,new_path,exists
useful,replay,eval_matrix,hard_reentry,artifacts/bags/derived/eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_mars__target_1,artifacts/bags/derived/eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_mars__target_1,True
useful,replay,eval_matrix,hard_reentry,artifacts/bags/derived/eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_ocsort__tim_mars__target_1,artifacts/bags/derived/eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_ocsort__tim_mars__target_1,True
useful,replay,eval_matrix,hard_reentry,artifacts/bags/derived/eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_ocsort__tim_mars__target_1__r1,artifacts/bags/derived/eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_ocsort__tim_mars__target_1__r1,True
useful,replay,eval_matrix,hard_reentry,artifacts/bags/derived/eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_ocsort__tim_mars__target_1__r2,artifacts/bags/derived/eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_ocsort__tim_mars__target_1__r2,True
useful,replay,eval_matrix,hard_reentry,artifacts/bags/derived/eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_ocsort__tim_off__target_1,artifacts/bags/derived/eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_ocsort__tim_off__target_1,True
useful,replay,eval_matrix,seq02,artifacts/bags/derived/eval_matrix/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0,artifacts/bags/derived/eval_matrix/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0,True
useful,replay,eval_matrix,seq02,artifacts/bags/derived/eval_matrix/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0__r1,artifacts/bags/derived/eval_matrix/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0__r1,True
useful,replay,eval_matrix,seq02,artifacts/bags/derived/eval_matrix/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0__r2,artifacts/bags/derived/eval_matrix/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0__r2,True
useful,replay,eval_matrix,seq02,artifacts/bags/derived/eval_matrix/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0__r3,artifacts/bags/derived/eval_matrix/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0__r3,True
useful,replay,eval_matrix,seq02,artifacts/bags/derived/eval_matrix/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0__r4,artifacts/bags/derived/eval_matrix/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0__r4,True
useful,replay,eval_matrix,seq03,artifacts/bags/derived/eval_matrix/2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0,artifacts/bags/derived/eval_matrix/2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0,True
useful,replay,eval_matrix,seq04,artifacts/bags/derived/eval_matrix/2026-06-19__13-01-36__video__2026-06-19__official__seq04__four_person_occlusion_no_exit__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0,artifacts/bags/derived/eval_matrix/2026-06-19__13-01-36__video__2026-06-19__official__seq04__four_person_occlusion_no_exit__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_0,True
