stream,correct_target_duration_s,wrong_target_duration_s,lost_target_duration_s,target_not_visible_duration_s,target_absent_but_output_valid_duration_s,no_target_selected_duration_s,reference_missing_duration_s,visible_target_duration_s,stale_output_duration_s,correct_target_ratio,wrong_target_ratio,lost_target_ratio,reference_missing_ratio,max_output_age_s
raw_target,32.608,0.000,57.218,0.000,0.000,0.000,5.905,95.731,0.000,0.341,0.000,0.598,0.062,0.900
tim_target_memory,79.962,0.000,9.864,0.000,0.000,0.000,5.905,95.731,0.000,0.835,0.000,0.103,0.062,0.900
