max_age_frames	sequence	metric_type	stream	field	baseline_age0	candidate	delta	safety_tolerance_s	gate
62	seq04_occlusion	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
62	seq04_occlusion	spatial	tim_target_memory	lost_target_ratio	0.233	0.233	0.0		N/A
93	may_hard_reentry	annotated_id	raw_target	correct_target_duration_s	38.283	38.283	0.0		N/A
93	may_hard_reentry	annotated_id	raw_target	wrong_target_duration_s	7.927	7.927	0.0		N/A
93	may_hard_reentry	annotated_id	raw_target	lost_target_duration_s	21.49	21.49	0.0		N/A
93	may_hard_reentry	annotated_id	raw_target	correct_target_ratio	0.565	0.565	0.0		N/A
93	may_hard_reentry	annotated_id	raw_target	wrong_target_ratio	0.117	0.117	0.0		N/A
93	may_hard_reentry	annotated_id	raw_target	lost_target_ratio	0.317	0.317	0.0		N/A
93	may_hard_reentry	annotated_id	tim_target_memory	correct_target_duration_s	62.513	62.513	0.0		N/A
93	may_hard_reentry	annotated_id	tim_target_memory	wrong_target_duration_s	0.1	0.1	0.0	0.05	PASS
93	may_hard_reentry	annotated_id	tim_target_memory	lost_target_duration_s	5.087	5.087	0.0		N/A
93	may_hard_reentry	annotated_id	tim_target_memory	correct_target_ratio	0.923	0.923	0.0		N/A
93	may_hard_reentry	annotated_id	tim_target_memory	wrong_target_ratio	0.001	0.001	0.0		N/A
93	may_hard_reentry	annotated_id	tim_target_memory	lost_target_ratio	0.075	0.075	0.0		N/A
93	may_hard_reentry	spatial	raw_target	correct_target_duration_s	41.417	41.417	0.0		N/A
93	may_hard_reentry	spatial	raw_target	wrong_target_duration_s	4.429	4.429	0.0		N/A
93	may_hard_reentry	spatial	raw_target	lost_target_duration_s	20.675	20.675	0.0		N/A
93	may_hard_reentry	spatial	raw_target	correct_target_ratio	0.613	0.613	0.0		N/A
93	may_hard_reentry	spatial	raw_target	wrong_target_ratio	0.066	0.066	0.0		N/A
93	may_hard_reentry	spatial	raw_target	lost_target_ratio	0.306	0.306	0.0		N/A
93	may_hard_reentry	spatial	tim_target_memory	correct_target_duration_s	62.427	62.427	0.0		N/A
93	may_hard_reentry	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
93	may_hard_reentry	spatial	tim_target_memory	lost_target_duration_s	4.095	4.095	0.0		N/A
93	may_hard_reentry	spatial	tim_target_memory	correct_target_ratio	0.923	0.923	0.0		N/A
93	may_hard_reentry	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
93	may_hard_reentry	spatial	tim_target_memory	lost_target_ratio	0.061	0.061	0.0		N/A
93	seq01_clean	annotated_id	raw_target	correct_target_duration_s	55.55	55.55	0.0		N/A
93	seq01_clean	annotated_id	raw_target	wrong_target_duration_s	0.0	0.0	0.0		N/A
93	seq01_clean	annotated_id	raw_target	lost_target_duration_s	66.79	66.79	0.0		N/A
93	seq01_clean	annotated_id	raw_target	correct_target_ratio	0.454	0.454	0.0		N/A
93	seq01_clean	annotated_id	raw_target	wrong_target_ratio	0.0	0.0	0.0		N/A
93	seq01_clean	annotated_id	raw_target	lost_target_ratio	0.546	0.546	0.0		N/A
