sequence_id,config_id,dimension_id,order,overrides,raw_correct_s,raw_wrong_s,raw_lost_s,raw_wrong_ratio,raw_lost_ratio,tim_correct_s,tim_wrong_s,tim_lost_s,tim_absent_valid_s,tim_no_selection_s,tim_correct_ratio,tim_wrong_ratio,tim_lost_ratio,tim_wrong_burst_count,tim_wrong_handover_count,tim_longest_wrong_burst_s,recovery_attempt_count,correct_candidate_suppressed_duration_s,hard_negative_contamination_count,positive_memory_contamination_count,total_memory_contamination_count,delta_wrong_s_vs_baseline,delta_lost_s_vs_baseline,delta_correct_s_vs_baseline
dev_may_hard_reentry,baseline,,0,{},38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,acceptance_pair_lower_2,acceptance_pair,1,"{""accept_score_locked"": 0.42, ""accept_score_lost"": 0.5}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,acceptance_pair_lower_1,acceptance_pair,2,"{""accept_score_locked"": 0.47, ""accept_score_lost"": 0.55}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,acceptance_pair_higher_1,acceptance_pair,3,"{""accept_score_locked"": 0.57, ""accept_score_lost"": 0.65}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,acceptance_pair_higher_2,acceptance_pair,4,"{""accept_score_locked"": 0.62, ""accept_score_lost"": 0.7}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,ambiguity_margin_lower_2,ambiguity_margin,5,"{""ambiguity_margin"": 0.03}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,ambiguity_margin_lower_1,ambiguity_margin,6,"{""ambiguity_margin"": 0.05}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,ambiguity_margin_higher_1,ambiguity_margin,7,"{""ambiguity_margin"": 0.09}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,ambiguity_margin_higher_2,ambiguity_margin,8,"{""ambiguity_margin"": 0.11}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,appearance_conservative_min_similarity_lower_2,appearance_conservative_min_similarity,9,"{""appearance_conservative_min_similarity"": 0.55}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,appearance_conservative_min_similarity_lower_1,appearance_conservative_min_similarity,10,"{""appearance_conservative_min_similarity"": 0.6}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,appearance_conservative_min_similarity_higher_1,appearance_conservative_min_similarity,11,"{""appearance_conservative_min_similarity"": 0.7}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,appearance_conservative_min_similarity_higher_2,appearance_conservative_min_similarity,12,"{""appearance_conservative_min_similarity"": 0.75}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,appearance_conservative_margin_lower_2,appearance_conservative_margin,13,"{""appearance_conservative_margin"": 0.01}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,appearance_conservative_margin_lower_1,appearance_conservative_margin,14,"{""appearance_conservative_margin"": 0.03}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,appearance_conservative_margin_higher_1,appearance_conservative_margin,15,"{""appearance_conservative_margin"": 0.07}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,appearance_conservative_margin_higher_2,appearance_conservative_margin,16,"{""appearance_conservative_margin"": 0.09}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,hard_negative_reject_similarity_lower_2,hard_negative_reject_similarity,17,"{""hard_negative_reject_similarity"": 0.7}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,hard_negative_reject_similarity_lower_1,hard_negative_reject_similarity,18,"{""hard_negative_reject_similarity"": 0.75}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,hard_negative_reject_similarity_higher_1,hard_negative_reject_similarity,19,"{""hard_negative_reject_similarity"": 0.85}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,hard_negative_reject_similarity_higher_2,hard_negative_reject_similarity,20,"{""hard_negative_reject_similarity"": 0.9}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,hard_negative_reject_margin_lower_2,hard_negative_reject_margin,21,"{""hard_negative_reject_margin"": 0.0}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,hard_negative_reject_margin_lower_1,hard_negative_reject_margin,22,"{""hard_negative_reject_margin"": 0.015}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,hard_negative_reject_margin_higher_1,hard_negative_reject_margin,23,"{""hard_negative_reject_margin"": 0.045}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,hard_negative_reject_margin_higher_2,hard_negative_reject_margin,24,"{""hard_negative_reject_margin"": 0.06}",38.283,7.927,21.49,0.117,0.317,62.513,0.1,5.087,0.0,0.0,0.923,0.001,0.075,1,0,0.09999999999999432,18,2.8669999999999933,0,0,0,0.0,0.0,0.0
dev_may_hard_reentry,confirmation_time_lower_1,confirmation_time,25,"{""min_confirm_frames_after_reacquire"": 0}",38.283,7.927,21.49,0.117,0.317,62.963,0.1,4.637,0.0,0.0,0.93,0.001,0.068,1,0,0.09999999999999432,15,2.416999999999993,0,0,0,0.0,-0.4500000000000002,0.45000000000000284
dev_may_hard_reentry,confirmation_time_higher_1,confirmation_time,26,"{""min_confirm_frames_after_reacquire"": 2}",38.283,7.927,21.49,0.117,0.317,61.413,0.1,6.187,0.0,0.0,0.907,0.001,0.091,1,0,0.09999999999999432,18,3.966999999999994,0,0,0,0.0,1.1000000000000005,-1.1000000000000014
dev_may_hard_reentry,confirmation_time_higher_2,confirmation_time,27,"{""min_confirm_frames_after_reacquire"": 3}",38.283,7.927,21.49,0.117,0.317,61.063,0.1,6.537,0.0,0.0,0.902,0.001,0.097,1,0,0.09999999999999432,18,4.316999999999994,0,0,0,0.0,1.4500000000000002,-1.4499999999999957
dev_may_hard_reentry,confirmation_time_higher_3,confirmation_time,28,"{""min_confirm_frames_after_reacquire"": 4}",38.283,7.927,21.49,0.117,0.317,60.013,0.1,7.587,0.0,0.0,0.886,0.001,0.112,1,0,0.09999999999999432,18,5.366999999999994,0,0,0,0.0,2.5,-2.5
dev_june_seq01,baseline,,0,{},55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,acceptance_pair_lower_2,acceptance_pair,1,"{""accept_score_locked"": 0.42, ""accept_score_lost"": 0.5}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,acceptance_pair_lower_1,acceptance_pair,2,"{""accept_score_locked"": 0.47, ""accept_score_lost"": 0.55}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,acceptance_pair_higher_1,acceptance_pair,3,"{""accept_score_locked"": 0.57, ""accept_score_lost"": 0.65}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,acceptance_pair_higher_2,acceptance_pair,4,"{""accept_score_locked"": 0.62, ""accept_score_lost"": 0.7}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,ambiguity_margin_lower_2,ambiguity_margin,5,"{""ambiguity_margin"": 0.03}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,ambiguity_margin_lower_1,ambiguity_margin,6,"{""ambiguity_margin"": 0.05}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,ambiguity_margin_higher_1,ambiguity_margin,7,"{""ambiguity_margin"": 0.09}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,ambiguity_margin_higher_2,ambiguity_margin,8,"{""ambiguity_margin"": 0.11}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,appearance_conservative_min_similarity_lower_2,appearance_conservative_min_similarity,9,"{""appearance_conservative_min_similarity"": 0.55}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,appearance_conservative_min_similarity_lower_1,appearance_conservative_min_similarity,10,"{""appearance_conservative_min_similarity"": 0.6}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,appearance_conservative_min_similarity_higher_1,appearance_conservative_min_similarity,11,"{""appearance_conservative_min_similarity"": 0.7}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,appearance_conservative_min_similarity_higher_2,appearance_conservative_min_similarity,12,"{""appearance_conservative_min_similarity"": 0.75}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,appearance_conservative_margin_lower_2,appearance_conservative_margin,13,"{""appearance_conservative_margin"": 0.01}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,appearance_conservative_margin_lower_1,appearance_conservative_margin,14,"{""appearance_conservative_margin"": 0.03}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,appearance_conservative_margin_higher_1,appearance_conservative_margin,15,"{""appearance_conservative_margin"": 0.07}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,appearance_conservative_margin_higher_2,appearance_conservative_margin,16,"{""appearance_conservative_margin"": 0.09}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,hard_negative_reject_similarity_lower_2,hard_negative_reject_similarity,17,"{""hard_negative_reject_similarity"": 0.7}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,hard_negative_reject_similarity_lower_1,hard_negative_reject_similarity,18,"{""hard_negative_reject_similarity"": 0.75}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,hard_negative_reject_similarity_higher_1,hard_negative_reject_similarity,19,"{""hard_negative_reject_similarity"": 0.85}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,hard_negative_reject_similarity_higher_2,hard_negative_reject_similarity,20,"{""hard_negative_reject_similarity"": 0.9}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,hard_negative_reject_margin_lower_2,hard_negative_reject_margin,21,"{""hard_negative_reject_margin"": 0.0}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,hard_negative_reject_margin_lower_1,hard_negative_reject_margin,22,"{""hard_negative_reject_margin"": 0.015}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,hard_negative_reject_margin_higher_1,hard_negative_reject_margin,23,"{""hard_negative_reject_margin"": 0.045}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,hard_negative_reject_margin_higher_2,hard_negative_reject_margin,24,"{""hard_negative_reject_margin"": 0.06}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,confirmation_time_lower_1,confirmation_time,25,"{""min_confirm_frames_after_reacquire"": 0}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,confirmation_time_higher_1,confirmation_time,26,"{""min_confirm_frames_after_reacquire"": 2}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,confirmation_time_higher_2,confirmation_time,27,"{""min_confirm_frames_after_reacquire"": 3}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq01,confirmation_time_higher_3,confirmation_time,28,"{""min_confirm_frames_after_reacquire"": 4}",55.55,0.0,66.79,0.0,0.546,108.75,0.0,13.59,0.0,0.0,0.889,0.0,0.111,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
dev_june_seq03,baseline,,0,{},12.457,54.02,29.25,0.564,0.306,73.892,6.053,15.782,0.0,0.0,0.772,0.063,0.165,9,0,1.3499999999999943,77,5.831000000000003,8,113,121,0.0,0.0,0.0
dev_june_seq03,acceptance_pair_lower_2,acceptance_pair,1,"{""accept_score_locked"": 0.42, ""accept_score_lost"": 0.5}",12.457,54.02,29.25,0.564,0.306,73.892,6.053,15.782,0.0,0.0,0.772,0.063,0.165,9,0,1.3499999999999943,77,5.831000000000003,8,113,121,0.0,0.0,0.0
dev_june_seq03,acceptance_pair_lower_1,acceptance_pair,2,"{""accept_score_locked"": 0.47, ""accept_score_lost"": 0.55}",12.457,54.02,29.25,0.564,0.306,73.892,6.053,15.782,0.0,0.0,0.772,0.063,0.165,9,0,1.3499999999999943,77,5.831000000000003,8,113,121,0.0,0.0,0.0
dev_june_seq03,acceptance_pair_higher_1,acceptance_pair,3,"{""accept_score_locked"": 0.57, ""accept_score_lost"": 0.65}",12.457,54.02,29.25,0.564,0.306,73.892,6.053,15.782,0.0,0.0,0.772,0.063,0.165,9,0,1.3499999999999943,77,5.831000000000003,8,113,121,0.0,0.0,0.0
dev_june_seq03,acceptance_pair_higher_2,acceptance_pair,4,"{""accept_score_locked"": 0.62, ""accept_score_lost"": 0.7}",12.457,54.02,29.25,0.564,0.306,73.892,6.053,15.782,0.0,0.0,0.772,0.063,0.165,9,0,1.3499999999999943,78,5.831000000000003,8,113,121,0.0,0.0,0.0
