model,tracker,status,json_path,health_score,detections_hz,timing_hz,tracker_hz,target_hz,e2e_det_p50_ms,e2e_det_p95_ms,e2e_det_p99_ms,infer_p50_ms,infer_p95_ms,infer_p99_ms,pre_p95_ms,container_queue_p95_ms,pub_dt_p95_ms,track_p50_ms,track_p95_ms,track_p99_ms,e2e_target_p95_ms,target_p95_ms,det_per_msg_mean,det_zero_ratio,notes
yolov5m,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov5m__sort.json,89.86859719412668,15.654057882935541,15.654057882935541,15.654057882935541,15.654057882935541,28.509906768798828,36.08408832550048,41.69139404296875,23.505972862243652,29.801331138610838,33.600436248779296,4.515021777153013,1.0352281689643856,150.91981964111324,4.429910898208618,8.181022644042969,9.851883897781374,0.0,,1.0,0.0,
yolov5m,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov5m__ocsort.json,92.79826998029435,15.73196231956139,15.73196231956139,15.03202331805548,14.765379888910372,28.600241661071777,37.804487991333005,41.6945570755005,23.562307357788086,30.2707067489624,35.37711154937747,4.694680190086364,1.0453008472919463,130.41211013793946,4.642430782318115,9.551031112670898,11.956210136413574,0.0,,1.0,0.0,
yolov5m,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov5m__bytetrack.json,93.02607073102679,16.62804548517065,16.694690958057105,16.661368221613877,16.661368221613877,29.238821029663086,37.50598907470703,41.757713317871094,23.819475173950195,30.223108291625977,34.323551177978516,4.102537155151367,1.019639015197754,128.8175048828125,4.62879204750061,8.621981143951414,11.337181644439694,0.0,,1.0,0.0,
yolov5m,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov5m__deepsort.json,84.58107430594308,12.823066642481226,12.856373309085074,11.590719978138875,11.723946644554264,30.395758628845215,43.89783477783203,51.86506195068348,24.891697883605957,34.86043167114258,41.18089466094969,5.106046676635742,1.7063530087471008,187.93247985839844,58.69648551940918,79.27564086914062,87.01962516784664,138.405859375,,1.0,0.0,
yolov6n,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov6n__sort.json,93.62836647033691,17.337311060495765,17.437142026295167,17.403865037695365,17.403865037695365,13.414556980133057,19.611261463165278,24.13555931091308,8.789913177490234,14.034964513778686,16.24979473114014,3.938374245166777,0.9993920922279351,124.6014347076416,3.668107032775879,8.55743246078491,11.32092109680175,0.0,,1.0,0.0,
yolov6n,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov6n__ocsort.json,93.2287595476423,16.532081184687204,16.49875037584711,15.79880339020511,17.298689788009394,13.926717758178711,20.213724708557127,24.23501522064209,8.936840057373047,13.986231994628906,16.604960899353028,4.659996366500852,1.0810852766036978,127.39868316650384,3.587087392807007,9.029011154174803,11.640527963638304,0.0,,1.0,0.0,
yolov6n,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov6n__bytetrack.json,93.43140345982142,17.7764360322114,17.80972523826423,17.476833177735926,17.84301444431706,13.378325462341309,20.329190254211422,23.539878501892066,8.908636093139648,13.821340370178218,16.427784156799312,3.9917127132415766,1.0040184855461112,125.98017578124998,3.383178949356079,9.36998176574707,12.961665153503407,0.0,,1.0056179775280898,0.0,
yolov6n,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov6n__deepsort.json,87.96442140851703,12.821500473972838,12.854803072606533,11.95563290949675,11.855725113595662,15.165489196777344,26.51513385772705,30.877548313140867,10.082396984100342,17.205637454986572,21.58245525360106,4.686593651771545,1.1059357225894928,164.24905014038086,56.57736587524414,77.45120925903319,84.56779876708984,114.9416618347168,,1.0,0.0,
yolov8n,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8n__sort.json,92.81433606828962,15.264262030482431,15.29759011351842,14.731012701906625,16.06413602334614,16.382112503051758,24.13032569885254,27.443336677551272,11.234953880310059,17.37273063659668,19.904497528076178,4.23891701698303,0.9781559228897088,130.29964752197264,4.069119930267334,8.54372911453247,10.794477729797357,0.0,,1.0,0.0,
yolov8n,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8n__ocsort.json,92.93757019042968,15.495675807184185,15.462351773190239,14.595926889347682,14.42930671937796,16.092775344848633,23.23808441162109,26.482946376800538,11.584336757659912,17.111632061004634,19.700640964508057,3.933619165420531,1.0085122108459472,129.4370086669922,3.2198530435562134,8.445190715789794,11.239563522338866,0.0,,1.0064516129032257,0.0,
