run_id	condition	frame_id	gallery	gallery_size	state	control_mode	candidate_track_ids	target_track_id	best_track_id	all_scores_exact	best_present	strict_full	mars_top1	repvgg_top1	mars_margin	repvgg_margin	pairwise_agreement	pairwise_disagreement	pairwise_ties
r1_all_candidates_hailo	all_candidates_hailo	823	updated_target_gallery	61	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.18250395847426626	0.225601992743934	1	0	0
r1_all_candidates_hailo	all_candidates_hailo	850	all_target_history	69	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.23852501496070122	0.3317871103477299	1	0	0
r1_all_candidates_hailo	all_candidates_hailo	850	updated_target_gallery	61	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.2546912157944067	0.3527894961435326	1	0	0
r1_all_candidates_hailo	all_candidates_hailo	865	all_target_history	70	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.1864869083802001	0.2772187028539217	1	0	0
r1_all_candidates_hailo	all_candidates_hailo	865	updated_target_gallery	62	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.20183432234715126	0.293732132644311	1	0	0
r1_all_candidates_hailo	all_candidates_hailo	887	all_target_history	72	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.23054466670142149	0.3467190261525971	1	0	0
r1_all_candidates_hailo	all_candidates_hailo	887	updated_target_gallery	64	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.24782386864256245	0.36439776140772473	1	0	0
r1_all_candidates_hailo	all_candidates_hailo	896	all_target_history	73	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.10034005307774907	0.19711980503678017	1	0	0
r1_all_candidates_hailo	all_candidates_hailo	896	updated_target_gallery	65	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.10947533578009627	0.20997886294853219	1	0	0
r1_all_candidates_hailo	all_candidates_hailo	937	all_target_history	81	LOCKED	NORMAL	[41,60]	41	41	True	True	True	41	41	0.27829767292274377	0.26122508900907704	1	0	0
r1_all_candidates_hailo	all_candidates_hailo	937	updated_target_gallery	68	LOCKED	NORMAL	[41,60]	41	41	True	True	True	41	41	0.28918796287829973	0.2780898102812288	1	0	0
