role	run	correctness_status	event_status	correctness_output	event_output
baseline	may_hard_reentry	0	0	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/correctness/baseline/may_hard_reentry	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/event_type/baseline_may_hard_reentry.csv
baseline	seq01_clean	0	0	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/correctness/baseline/seq01_clean	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/event_type/baseline_seq01_clean.csv
baseline	seq03_crossing	0	0	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/correctness/baseline/seq03_crossing	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/event_type/baseline_seq03_crossing.csv
baseline	seq04_occlusion	0	0	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/correctness/baseline/seq04_occlusion	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/event_type/baseline_seq04_occlusion.csv
candidate	may_hard_reentry	0	0	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/correctness/candidate/may_hard_reentry	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/event_type/candidate_may_hard_reentry.csv
candidate	seq01_clean	0	0	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/correctness/candidate/seq01_clean	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/event_type/candidate_seq01_clean.csv
candidate	seq03_crossing	0	0	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/correctness/candidate/seq03_crossing	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/event_type/candidate_seq03_crossing.csv
candidate	seq04_occlusion	0	0	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/correctness/candidate/seq04_occlusion	/home/francisco/Desktop/Thesis-Code/ros2_ws/log/p015_ab_f1fbb799/evaluation/event_type/candidate_seq04_occlusion.csv
