path	frames_present
appearance_crop_quality_by_track_id.46.min_centre_distance_norm	108
appearance_crop_quality_by_track_id.46.rejection_reasons	108
appearance_crop_quality_by_track_id.46.rejection_reasons[]	108
appearance_crop_quality_by_track_id.1.rejection_reasons[]	85
appearance_crop_quality_by_track_id.48	83
appearance_crop_quality_by_track_id.48.aspect_ratio	83
appearance_crop_quality_by_track_id.48.clipping_fraction	83
appearance_crop_quality_by_track_id.48.crop_height_px	83
appearance_crop_quality_by_track_id.48.crop_width_px	83
appearance_crop_quality_by_track_id.48.encoding_eligible	83
appearance_crop_quality_by_track_id.48.max_iou_with_other	83
appearance_crop_quality_by_track_id.48.memory_update_eligible	83
appearance_crop_quality_by_track_id.48.min_centre_distance_norm	83
appearance_crop_quality_by_track_id.48.rejection_reasons	83
appearance_crop_quality_by_track_id.65	78
appearance_crop_quality_by_track_id.65.aspect_ratio	78
appearance_crop_quality_by_track_id.65.clipping_fraction	78
appearance_crop_quality_by_track_id.65.crop_height_px	78
appearance_crop_quality_by_track_id.65.crop_width_px	78
appearance_crop_quality_by_track_id.65.encoding_eligible	78
appearance_crop_quality_by_track_id.65.max_iou_with_other	78
appearance_crop_quality_by_track_id.65.memory_update_eligible	78
appearance_crop_quality_by_track_id.65.min_centre_distance_norm	78
appearance_crop_quality_by_track_id.65.rejection_reasons	78
appearance_crop_quality_by_track_id.65.rejection_reasons[]	78
appearance_embedding_age_ms_by_track_id.60	78
appearance_crop_quality_by_track_id.41.rejection_reasons[]	73
appearance_crop_quality_by_track_id.48.rejection_reasons[]	65
appearance_crop_quality_by_track_id.27	62
appearance_crop_quality_by_track_id.27.aspect_ratio	62
appearance_crop_quality_by_track_id.27.clipping_fraction	62
appearance_crop_quality_by_track_id.27.crop_height_px	62
appearance_crop_quality_by_track_id.27.crop_width_px	62
appearance_crop_quality_by_track_id.27.encoding_eligible	62
appearance_crop_quality_by_track_id.27.max_iou_with_other	62
appearance_crop_quality_by_track_id.27.memory_update_eligible	62
appearance_crop_quality_by_track_id.27.min_centre_distance_norm	62
appearance_crop_quality_by_track_id.27.rejection_reasons	62
appearance_crop_quality_by_track_id.27.rejection_reasons[]	62
appearance_crop_quality_by_track_id.30	60
appearance_crop_quality_by_track_id.30.aspect_ratio	60
appearance_crop_quality_by_track_id.30.clipping_fraction	60
appearance_crop_quality_by_track_id.30.crop_height_px	60
appearance_crop_quality_by_track_id.30.crop_width_px	60
appearance_crop_quality_by_track_id.30.encoding_eligible	60
appearance_crop_quality_by_track_id.30.max_iou_with_other	60
appearance_crop_quality_by_track_id.30.memory_update_eligible	60
appearance_crop_quality_by_track_id.30.min_centre_distance_norm	60
appearance_crop_quality_by_track_id.30.rejection_reasons	60
appearance_crop_quality_by_track_id.13	54
appearance_crop_quality_by_track_id.13.aspect_ratio	54
appearance_crop_quality_by_track_id.13.clipping_fraction	54
appearance_crop_quality_by_track_id.13.crop_height_px	54
appearance_crop_quality_by_track_id.13.crop_width_px	54
appearance_crop_quality_by_track_id.13.encoding_eligible	54
appearance_crop_quality_by_track_id.13.max_iou_with_other	54
appearance_crop_quality_by_track_id.13.memory_update_eligible	54
appearance_crop_quality_by_track_id.13.min_centre_distance_norm	54
appearance_crop_quality_by_track_id.13.rejection_reasons	54
appearance_crop_quality_by_track_id.13.rejection_reasons[]	54
appearance_crop_quality_by_track_id.35	54
appearance_crop_quality_by_track_id.35.aspect_ratio	54
appearance_crop_quality_by_track_id.35.clipping_fraction	54
appearance_crop_quality_by_track_id.35.crop_height_px	54
appearance_crop_quality_by_track_id.35.crop_width_px	54
appearance_crop_quality_by_track_id.35.encoding_eligible	54
appearance_crop_quality_by_track_id.35.max_iou_with_other	54
appearance_crop_quality_by_track_id.35.memory_update_eligible	54
appearance_crop_quality_by_track_id.35.min_centre_distance_norm	54
appearance_crop_quality_by_track_id.35.rejection_reasons	54
appearance_crop_quality_by_track_id.30.rejection_reasons[]	49
appearance_crop_quality_by_track_id.68	48
appearance_crop_quality_by_track_id.68.aspect_ratio	48
appearance_crop_quality_by_track_id.68.clipping_fraction	48
appearance_crop_quality_by_track_id.68.crop_height_px	48
appearance_crop_quality_by_track_id.68.crop_width_px	48
appearance_crop_quality_by_track_id.68.encoding_eligible	48
appearance_crop_quality_by_track_id.68.max_iou_with_other	48
appearance_crop_quality_by_track_id.68.memory_update_eligible	48
appearance_crop_quality_by_track_id.68.min_centre_distance_norm	48
appearance_crop_quality_by_track_id.68.rejection_reasons	48
hard_negative_pending_entries[].appearance_frame_generation	44
hard_negative_pending_entries[].appearance_source_crop_quality.memory_update_eligible	44
hard_negative_pending_entries[].appearance_track_generation	44
hard_negative_pending_entries[].latest_crop_quality.memory_update_eligible	44
hard_negative_pending_entries[].latest_geometry_score	44
hard_negative_pending_entries[].lifecycle_state	44
hard_negative_pending_entries[].selected_track_ids	44
hard_negative_pending_entries[].selected_track_ids[]	44
hard_negative_pending_entries[].source_track_ids	44
hard_negative_pending_entries[].source_track_ids[]	44
appearance_crop_quality_by_track_id.35.rejection_reasons[]	42
appearance_crop_quality_by_track_id.61	42
appearance_crop_quality_by_track_id.61.aspect_ratio	42
appearance_crop_quality_by_track_id.61.clipping_fraction	42
appearance_crop_quality_by_track_id.61.crop_height_px	42
appearance_crop_quality_by_track_id.61.crop_width_px	42
appearance_crop_quality_by_track_id.61.encoding_eligible	42
appearance_crop_quality_by_track_id.61.max_iou_with_other	42
appearance_crop_quality_by_track_id.61.memory_update_eligible	42
appearance_crop_quality_by_track_id.61.min_centre_distance_norm	42
appearance_crop_quality_by_track_id.61.rejection_reasons	42
appearance_crop_quality_by_track_id.61.rejection_reasons[]	42
appearance_crop_quality_by_track_id.66	35
appearance_crop_quality_by_track_id.66.aspect_ratio	35
appearance_crop_quality_by_track_id.66.clipping_fraction	35
appearance_crop_quality_by_track_id.66.crop_height_px	35
appearance_crop_quality_by_track_id.66.crop_width_px	35
appearance_crop_quality_by_track_id.66.encoding_eligible	35
appearance_crop_quality_by_track_id.66.max_iou_with_other	35
appearance_crop_quality_by_track_id.66.memory_update_eligible	35
appearance_crop_quality_by_track_id.66.min_centre_distance_norm	35
appearance_crop_quality_by_track_id.66.rejection_reasons	35
appearance_crop_quality_by_track_id.66.rejection_reasons[]	35
appearance_crop_quality_by_track_id.58	24
appearance_crop_quality_by_track_id.58.aspect_ratio	24
appearance_crop_quality_by_track_id.58.clipping_fraction	24
appearance_crop_quality_by_track_id.58.crop_height_px	24
appearance_crop_quality_by_track_id.58.crop_width_px	24
appearance_crop_quality_by_track_id.58.encoding_eligible	24
appearance_crop_quality_by_track_id.58.max_iou_with_other	24
appearance_crop_quality_by_track_id.58.memory_update_eligible	24
appearance_crop_quality_by_track_id.58.min_centre_distance_norm	24
appearance_crop_quality_by_track_id.58.rejection_reasons	24
appearance_crop_quality_by_track_id.63	24
appearance_crop_quality_by_track_id.63.aspect_ratio	24
appearance_crop_quality_by_track_id.63.clipping_fraction	24
appearance_crop_quality_by_track_id.63.crop_height_px	24
appearance_crop_quality_by_track_id.63.crop_width_px	24
appearance_crop_quality_by_track_id.63.encoding_eligible	24
appearance_crop_quality_by_track_id.63.max_iou_with_other	24
appearance_crop_quality_by_track_id.63.memory_update_eligible	24
appearance_crop_quality_by_track_id.63.min_centre_distance_norm	24
appearance_crop_quality_by_track_id.63.rejection_reasons	24
appearance_crop_quality_by_track_id.63.rejection_reasons[]	24
appearance_crop_quality_by_track_id.68.rejection_reasons[]	24
appearance_crop_quality_by_track_id.2.rejection_reasons[]	18
appearance_crop_quality_by_track_id.39	18
appearance_crop_quality_by_track_id.39.aspect_ratio	18
appearance_crop_quality_by_track_id.39.clipping_fraction	18
appearance_crop_quality_by_track_id.39.crop_height_px	18
appearance_crop_quality_by_track_id.39.crop_width_px	18
appearance_crop_quality_by_track_id.39.encoding_eligible	18
appearance_crop_quality_by_track_id.39.max_iou_with_other	18
